(1,10412.144444096804)
(2,10394.973685620178)
(3,10086.709915762223)
(4,9994.832711193118)
(5,9994.832711193118)
(6,9994.832711193118)
(7,9971.3621398852)
(8,9967.651775856535)
(9,9967.651775856535)
(10,9967.651775856535)
(11,9967.651775856535)
(12,9967.651775856535)
(13,9967.651775856535)
(14,9967.651775856535)
(15,9945.49500652109)
(16,9916.224075964397)
(17,9916.081429916554)
(18,9916.081429916554)
(19,9916.081429916554)
(20,9916.081429916554)
(21,9916.081429916554)
(22,9916.081429916554)
(23,9916.081429916554)
(24,9916.081429916554)
(25,9916.081429916554)
(26,9916.081429916554)
(27,9916.081429916554)
(28,9916.081429916554)
(29,9916.081429916554)
(30,9916.081429916554)
(31,9916.081429916554)
(32,9916.081429916554)
(33,9214.291326701337)
(34,8966.300855833757)
(35,8964.303377135626)
(36,8964.303377135626)
(37,8964.303377135626)
(38,8804.94787249335)
(39,8492.55821512724)
(40,8371.433451764708)
(41,8364.936822076133)
(42,8364.936822076133)
(43,8364.936822076133)
(44,8364.936822076133)
(45,8364.936822076133)
(46,8364.936822076133)
(47,8364.936822076133)
(48,8364.936822076133)
(49,8364.936822076133)
(50,8364.936822076133)
(51,8364.936822076133)
(52,8364.936822076133)
(53,8364.936822076133)
(54,8364.936822076133)
(55,8364.936822076133)
(56,8364.936822076133)
(57,8364.936822076133)
(58,8364.936822076133)
(59,8364.936822076133)
(60,8364.936822076133)
(61,8364.936822076133)
(62,8364.936822076133)
(63,8364.936822076133)
(64,8364.936822076133)
(65,8364.936822076133)
(66,8364.936822076133)
(67,8364.936822076133)
(68,8364.936822076133)
(69,8364.936822076133)
(70,8364.936822076133)
(71,8364.936822076133)
(72,8364.936822076133)
(73,8364.936822076133)
(74,8364.936822076133)
(75,8364.936822076133)
(76,8364.936822076133)
(77,8364.936822076133)
(78,8364.936822076133)
(79,8354.613398435931)
(80,8338.968403665118)
(81,8319.614175989484)
(82,8303.111166142795)
(83,8292.378068885015)
(84,8287.939553189633)
(85,8287.285806422098)
(86,8287.285806422098)
(87,8287.285806422098)
(88,8287.285806422098)
(89,8287.285806422098)
(90,8287.285806422098)
(91,8287.285806422098)
(92,8287.285806422098)
(93,8287.285806422098)
(94,8287.285806422098)
(95,8287.285806422098)
(96,8287.285806422098)
(97,8287.285806422098)
(98,8287.285806422098)
(99,8287.285806422098)
(100,8287.285806422098)
